DBN,school_year,student_q20_mental_health,student_q20_mental_health_label,student_q22_felt_happy,student_q22_felt_happy_label
22K014,2024-25,78.0,78.0% of students know where to get mental health support,74.0,74.0% of students felt happy at school
22K078,2024-25,88.0,88.0% of students know where to get mental health support,78.0,78.0% of students felt happy at school
22K109,2024-25,84.0,84.0% of students know where to get mental health support,68.0,68.0% of students felt happy at school
22K206,2024-25,76.0,76.0% of students know where to get mental health support,74.0,74.0% of students felt happy at school
22K207,2024-25,84.0,84.0% of students know where to get mental health support,71.0,71.0% of students felt happy at school
22K234,2024-25,70.0,70.0% of students know where to get mental health support,62.0,62.0% of students felt happy at school
22K240,2024-25,73.0,73.0% of students know where to get mental health support,65.0,65.0% of students felt happy at school
22K278,2024-25,75.0,75.0% of students know where to get mental health support,60.0,60.0% of students felt happy at school
22K381,2024-25,85.0,85.0% of students know where to get mental health support,77.0,77.0% of students felt happy at school
22K405,2024-25,88.0,88.0% of students know where to get mental health support,73.0,73.0% of students felt happy at school
22K425,2024-25,85.0,85.0% of students know where to get mental health support,72.0,72.0% of students felt happy at school
22K535,2024-25,88.0,88.0% of students know where to get mental health support,68.0,68.0% of students felt happy at school
22K555,2024-25,85.0,85.0% of students know where to get mental health support,69.0,69.0% of students felt happy at school
22K611,2024-25,75.0,75.0% of students know where to get mental health support,66.0,66.0% of students felt happy at school
22K630,2024-25,91.0,91.0% of students know where to get mental health support,90.0,90.0% of students felt happy at school
22K890,2024-25,91.0,91.0% of students know where to get mental health support,77.0,77.0% of students felt happy at school
23K155,2024-25,72.0,72.0% of students know where to get mental health support,66.0,66.0% of students felt happy at school
23K178,2024-25,85.0,85.0% of students know where to get mental health support,66.0,66.0% of students felt happy at school
23K184,2024-25,,Data not available,,Data not available
23K363,2024-25,88.0,88.0% of students know where to get mental health support,67.0,67.0% of students felt happy at school
23K392,2024-25,88.0,88.0% of students know where to get mental health support,68.0,68.0% of students felt happy at school
23K493,2024-25,85.0,85.0% of students know where to get mental health support,65.0,65.0% of students felt happy at school
23K514,2024-25,84.0,84.0% of students know where to get mental health support,65.0,65.0% of students felt happy at school
