DBN,school_year,core_school,level,grade_served,school_type,cohort,year_partnership_began,social_work_program,community_school_program,community_school_program_status,arts_program,arts_program_type,ost_program,ost_program_type,food_pantry,laundry,sw_caseload_students,students_individual_contacts,number_individual_contacts,students_group_contacts,number_group_contacts,total_students_served_sw,total_contacts_sw,school_enrollment_pwc
12X047,2022-23,1,Elem,K-5,DOE,,,1,0,,1,,,,,,45,64,904,67,159,111,1063,861
12X286,2022-23,1,Middle,6-8,DOE,,,1,1,,0,,,,,,39,109,601,101,811,151,1412,274
12X463,2022-23,1,Elem,K-5,DOE,Morrisania,,1,1,OCS MH subcontract - East Side House,1,"Chorus & Dance , Visual Arts",,,,,26,76,777,87,,123,777,367
13K046,2022-23,1,Elem,Prek-5,DOE,Fort Greene,,1,1,New,0,,,,,,,,,,,,,198
13K067,2022-23,1,Elem,Prek-5,DOE,,,1,1,,1,,,,,,70,113,1277,187,1384,192,2661,196
14K018,2022-23,0,Elem,Prek-5,DOE,,,0,0,,1,"Theater/Caribbean, Latin; 
Dances of the world",,,,,,,,,,,,
14K110,2022-23,0,Elem,Prek-6,DOE,,,0,0,,1,Theatre & Visual Arts,,,,,,,,,,,,
14K126,2022-23,1,Middle,6-8,DOE,,,1,1,OCS MH subcontract  - St. Nick's Alliance,1,Percussion and Dance,,,,,29,65,337,17,84,69,421,271
15K130,2022-23,0,Elem,Prek-5,DOE,,,0,0,,1,South Asian Dance (?),,,,,,,,,,,,
16K308,2022-23,1,Elem,3K-5,DOE,,,1,1,,1,,,,,,51,43,328,98,447,110,775,217
17K249,2022-23,0,Elem,Prek-5,DOE,,,0,0,,1,jazz/modern dance,,,,,,,,,,,,
19K557,2022-23,1,Elem,3K-5,DOE,Brownsville,,1,1,,1,,,,,,28,44,578,11,11,134,589,283
20K485,2022-23,0,HS,9-12,DOE,,,1,0,,0,,,,,,6,25,91,10,25,25,116,
22K611,2022-23,1,HS,9-12,DOE,,,1,1,,1,Dance and Visual Arts,,,,,65,168,1204,36,259,181,1463,413
23K041,2022-23,1,Elem,K-5,DOE,Brownsville,,1,1,New,0,,,,,,,,,,,,,256
23K165,2022-23,1,Elem,3K-5,DOE,Brownsville,,1,1,,1,Theater/SEL,,,,,54,31,320,133,793,134,1113,149
23K284,2022-23,1,Elem,Prek-5,DOE,Brownsville,,1,1,,1,Theater/SEL,,,,,34,35,470,113,189,124,659,226
23K298,2022-23,1,Elem,3K-5,DOE,Brownsville,,1,1,,1,Theater/SEL,,,,,19,45,245,103,642,131,887,341
23K446,2022-23,1,Elem,Prek-5,DOE,Brownsville,,1,0,,1,Theater/SEL,,,,,21,26,320,43,392,52,712,255
23K668,2022-23,1,Middle,6-8,DOE,Brownsville,,1,1,New,0,,,,,,5,8,27,,1977,8,2004,255
25Q209,2022-23,0,Elem,Prek-5,DOE,,,0,0,,1,Visual art,,,,,,,,,,,,
27Q351,2022-23,1,HS,9-12,DOE,,,1,1,,1,theatre,,,,,54,78,601,119,591,147,1192,302
28Q217,2022-23,0,Middle,6-8,DOE,,,0,0,,1,Musical Theater,,,,,,,,,,,,
31R013,2022-23,0,Elem,Prek-5,DOE,,,0,0,,1,"Chorus, Dance, Percussion",,,,,,,,,,,,
31R019,2022-23,0,Elem,Prek-5,DOE,,,0,0,,1,Visual Art,,,,,,,,,,,,
31R049,2022-23,1,Middle,6-8,DOE,,,1,0,,1,,,,,,63,127,1094,41,206,132,1300,626
32K162,2022-23,0,Middle,6-8,DOE,,,0,0,,1,Theater,,,,,,,,,,,,
75X017,2022-23,1,,1-12,DOE D75,Morrisania,,1,1,New,0,,,,,,,,,,,,,
84M330,2022-23,0,Elem,K-5,Charter,,,1,0,,1,Dance and Visual Arts,,,,,39,67,517,100,1359,105,1876,153
84M330,2022-23,0,Elem,K-5,Charter,,,1,0,,1,Dance and Visual Arts,,,,,39,67,517,100,1359,105,1876,153
84M330,2022-23,0,Middle,6-8,Charter,,,1,0,,1,"Visual Arts, dance",,,,,30,36,350,18,36,100,386,229
