DBN,school_year,chronic_absent_count,chronic_absent_rate,chronic_absent_rate_label
06M223,2018-19,28.0,9.3,9.3% of students chronically absent
06M278,2018-19,83.0,14.66,14.7% of students chronically absent
06M293,2018-19,91.0,14.87,14.9% of students chronically absent
06M311,2018-19,42.0,9.95,9.9% of students chronically absent
06M314,2018-19,13.0,4.35,4.3% of students chronically absent
06M319,2018-19,29.0,7.23,7.2% of students chronically absent
06M322,2018-19,131.0,30.82,30.8% of students chronically absent
06M324,2018-19,79.0,21.76,21.8% of students chronically absent
06M328,2018-19,93.0,38.75,38.8% of students chronically absent
06M346,2018-19,265.0,37.54,37.5% of students chronically absent
06M348,2018-19,226.0,25.74,25.7% of students chronically absent
06M349,2018-19,37.0,22.7,22.7% of students chronically absent
06M366,2018-19,127.0,21.27,21.3% of students chronically absent
06M368,2018-19,37.0,22.56,22.6% of students chronically absent
06M462,2018-19,242.0,53.78,53.8% of students chronically absent
06M463,2018-19,94.0,22.54,22.5% of students chronically absent
06M467,2018-19,311.0,60.86,60.9% of students chronically absent
06M468,2018-19,128.0,28.13,28.1% of students chronically absent
06M513,2018-19,29.0,13.43,13.4% of students chronically absent
06M528,2018-19,14.0,5.91,5.9% of students chronically absent
06M540,2018-19,640.0,41.78,41.8% of students chronically absent
06M552,2018-19,122.0,22.1,22.1% of students chronically absent
07X001,2018-19,315.0,44.24,44.2% of students chronically absent
07X005,2018-19,331.0,40.61,40.6% of students chronically absent
07X018,2018-19,272.0,42.83,42.8% of students chronically absent
07X025,2018-19,229.0,38.75,38.8% of students chronically absent
07X029,2018-19,365.0,41.38,41.4% of students chronically absent
07X030,2018-19,257.0,42.13,42.1% of students chronically absent
07X031,2018-19,239.0,31.32,31.3% of students chronically absent
07X043,2018-19,194.0,39.59,39.6% of students chronically absent
07X049,2018-19,224.0,32.37,32.4% of students chronically absent
07X065,2018-19,210.0,50.12,50.1% of students chronically absent
07X151,2018-19,105.0,40.23,40.2% of students chronically absent
07X154,2018-19,91.0,25.78,25.8% of students chronically absent
07X157,2018-19,331.0,48.82,48.8% of students chronically absent
07X161,2018-19,240.0,45.37,45.4% of students chronically absent
07X179,2018-19,142.0,43.69,43.7% of students chronically absent
07X221,2018-19,128.0,19.13,19.1% of students chronically absent
07X223,2018-19,176.0,25.69,25.7% of students chronically absent
07X224,2018-19,148.0,42.53,42.5% of students chronically absent
07X259,2018-19,216.0,40.45,40.5% of students chronically absent
07X277,2018-19,247.0,47.87,47.9% of students chronically absent
07X296,2018-19,99.0,38.22,38.2% of students chronically absent
07X298,2018-19,102.0,35.17,35.2% of students chronically absent
07X334,2018-19,139.0,32.25,32.2% of students chronically absent
07X343,2018-19,72.0,22.86,22.9% of students chronically absent
07X359,2018-19,83.0,22.93,22.9% of students chronically absent
07X369,2018-19,75.0,28.3,28.3% of students chronically absent
07X427,2018-19,184.0,54.28,54.3% of students chronically absent
07X473,2018-19,215.0,60.06,60.1% of students chronically absent
07X495,2018-19,95.0,17.89,17.9% of students chronically absent
07X500,2018-19,152.0,27.39,27.4% of students chronically absent
07X522,2018-19,236.0,49.79,49.8% of students chronically absent
07X527,2018-19,265.0,49.72,49.7% of students chronically absent
07X548,2018-19,290.0,53.21,53.2% of students chronically absent
07X551,2018-19,334.0,53.27,53.3% of students chronically absent
07X584,2018-19,131.0,46.62,46.6% of students chronically absent
07X600,2018-19,240.0,51.06,51.1% of students chronically absent
07X670,2018-19,287.0,53.15,53.1% of students chronically absent
08X014,2018-19,155.0,25.41,25.4% of students chronically absent
08X036,2018-19,208.0,25.49,25.5% of students chronically absent
08X048,2018-19,322.0,41.66,41.7% of students chronically absent
08X062,2018-19,326.0,44.66,44.7% of students chronically absent
08X069,2018-19,201.0,30.32,30.3% of students chronically absent
08X071,2018-19,408.0,24.91,24.9% of students chronically absent
08X072,2018-19,339.0,42.01,42.0% of students chronically absent
08X075,2018-19,254.0,38.96,39.0% of students chronically absent
08X093,2018-19,170.0,44.62,44.6% of students chronically absent
08X100,2018-19,276.0,43.95,44.0% of students chronically absent
08X101,2018-19,74.0,13.41,13.4% of students chronically absent
08X107,2018-19,303.0,51.44,51.4% of students chronically absent
08X119,2018-19,270.0,31.69,31.7% of students chronically absent
08X123,2018-19,145.0,32.22,32.2% of students chronically absent
08X130,2018-19,182.0,39.22,39.2% of students chronically absent
08X131,2018-19,172.0,34.4,34.4% of students chronically absent
08X138,2018-19,319.0,44.55,44.5% of students chronically absent
08X140,2018-19,282.0,43.05,43.0% of students chronically absent
08X146,2018-19,184.0,43.81,43.8% of students chronically absent
08X152,2018-19,250.0,28.47,28.5% of students chronically absent
08X182,2018-19,227.0,28.02,28.0% of students chronically absent
08X269,2018-19,265.0,39.14,39.1% of students chronically absent
08X282,2018-19,154.0,59.0,59.0% of students chronically absent
08X293,2018-19,247.0,51.67,51.7% of students chronically absent
08X301,2018-19,123.0,44.57,44.6% of students chronically absent
08X302,2018-19,165.0,31.67,31.7% of students chronically absent
08X304,2018-19,140.0,25.93,25.9% of students chronically absent
08X312,2018-19,238.0,51.74,51.7% of students chronically absent
08X320,2018-19,297.0,57.56,57.6% of students chronically absent
08X333,2018-19,310.0,45.32,45.3% of students chronically absent
08X337,2018-19,139.0,26.48,26.5% of students chronically absent
08X348,2018-19,216.0,54.82,54.8% of students chronically absent
08X349,2018-19,255.0,54.26,54.3% of students chronically absent
08X367,2018-19,313.0,45.23,45.2% of students chronically absent
08X371,2018-19,125.0,32.13,32.1% of students chronically absent
08X375,2018-19,106.0,40.15,40.1% of students chronically absent
08X376,2018-19,248.0,50.61,50.6% of students chronically absent
08X392,2018-19,121.0,32.88,32.9% of students chronically absent
08X405,2018-19,341.0,43.06,43.1% of students chronically absent
08X424,2018-19,96.0,28.92,28.9% of students chronically absent
