DBN,school_year,ela_number_tested,ela_mean_scale_score,ela_pct_proficient,ela_pct_proficient_label
03M859,2017-18,79.0,631.7,98.73,98.7% ELA proficiency (Levels 3+4)
03M860,2017-18,34.0,594.6,29.41,29.4% ELA proficiency (Levels 3+4)
03M862,2017-18,302.0,611.0,67.88,67.9% ELA proficiency (Levels 3+4)
04M007,2017-18,207.0,597.5,39.13,39.1% ELA proficiency (Levels 3+4)
04M012,2017-18,400.0,629.7,96.25,96.2% ELA proficiency (Levels 3+4)
04M037,2017-18,76.0,605.1,59.21,59.2% ELA proficiency (Levels 3+4)
04M038,2017-18,89.0,584.1,14.61,14.6% ELA proficiency (Levels 3+4)
04M057,2017-18,504.0,594.2,31.35,31.4% ELA proficiency (Levels 3+4)
04M072,2017-18,375.0,593.9,27.73,27.7% ELA proficiency (Levels 3+4)
04M083,2017-18,212.0,601.4,49.06,49.1% ELA proficiency (Levels 3+4)
04M096,2017-18,247.0,588.5,15.79,15.8% ELA proficiency (Levels 3+4)
04M102,2017-18,139.0,598.2,38.85,38.9% ELA proficiency (Levels 3+4)
04M108,2017-18,305.0,592.8,27.87,27.9% ELA proficiency (Levels 3+4)
04M146,2017-18,123.0,594.2,30.89,30.9% ELA proficiency (Levels 3+4)
04M155,2017-18,124.0,587.6,20.16,20.2% ELA proficiency (Levels 3+4)
04M171,2017-18,438.0,612.0,71.92,71.9% ELA proficiency (Levels 3+4)
04M182,2017-18,145.0,599.5,39.31,39.3% ELA proficiency (Levels 3+4)
04M206,2017-18,395.0,592.0,27.34,27.3% ELA proficiency (Levels 3+4)
04M224,2017-18,150.0,604.7,55.33,55.3% ELA proficiency (Levels 3+4)
04M372,2017-18,167.0,588.8,17.37,17.4% ELA proficiency (Levels 3+4)
04M375,2017-18,122.0,595.2,32.79,32.8% ELA proficiency (Levels 3+4)
04M377,2017-18,127.0,597.3,32.28,32.3% ELA proficiency (Levels 3+4)
04M497,2017-18,24.0,601.8,50.0,50.0% ELA proficiency (Levels 3+4)
04M825,2017-18,171.0,598.9,42.11,42.1% ELA proficiency (Levels 3+4)
04M964,2017-18,186.0,602.5,44.09,44.1% ELA proficiency (Levels 3+4)
05M030,2017-18,97.0,599.8,41.24,41.2% ELA proficiency (Levels 3+4)
05M036,2017-18,143.0,595.1,34.97,35.0% ELA proficiency (Levels 3+4)
05M046,2017-18,398.0,591.5,24.62,24.6% ELA proficiency (Levels 3+4)
05M092,2017-18,122.0,592.3,22.13,22.1% ELA proficiency (Levels 3+4)
05M123,2017-18,319.0,591.0,24.14,24.1% ELA proficiency (Levels 3+4)
05M125,2017-18,81.0,603.4,48.15,48.1% ELA proficiency (Levels 3+4)
05M129,2017-18,259.0,596.0,34.75,34.8% ELA proficiency (Levels 3+4)
05M133,2017-18,83.0,588.3,21.69,21.7% ELA proficiency (Levels 3+4)
05M148,2017-18,159.0,589.9,16.35,16.4% ELA proficiency (Levels 3+4)
05M154,2017-18,123.0,585.6,17.07,17.1% ELA proficiency (Levels 3+4)
05M161,2017-18,564.0,592.3,27.66,27.7% ELA proficiency (Levels 3+4)
05M175,2017-18,144.0,593.8,29.86,29.9% ELA proficiency (Levels 3+4)
05M194,2017-18,94.0,590.0,21.28,21.3% ELA proficiency (Levels 3+4)
05M197,2017-18,142.0,586.8,13.38,13.4% ELA proficiency (Levels 3+4)
05M200,2017-18,175.0,594.5,30.29,30.3% ELA proficiency (Levels 3+4)
05M286,2017-18,161.0,591.5,22.98,23.0% ELA proficiency (Levels 3+4)
05M318,2017-18,114.0,601.2,39.47,39.5% ELA proficiency (Levels 3+4)
05M362,2017-18,262.0,622.4,88.55,88.5% ELA proficiency (Levels 3+4)
05M499,2017-18,265.0,589.6,18.49,18.5% ELA proficiency (Levels 3+4)
05M514,2017-18,124.0,590.7,20.97,21.0% ELA proficiency (Levels 3+4)
05M517,2017-18,129.0,603.3,55.81,55.8% ELA proficiency (Levels 3+4)
05M670,2017-18,164.0,597.4,31.71,31.7% ELA proficiency (Levels 3+4)
06M004,2017-18,272.0,591.5,24.63,24.6% ELA proficiency (Levels 3+4)
06M005,2017-18,244.0,590.6,25.0,25.0% ELA proficiency (Levels 3+4)
06M008,2017-18,208.0,592.0,25.96,26.0% ELA proficiency (Levels 3+4)
06M018,2017-18,225.0,591.5,26.22,26.2% ELA proficiency (Levels 3+4)
06M028,2017-18,306.0,593.5,29.74,29.7% ELA proficiency (Levels 3+4)
06M048,2017-18,248.0,592.8,25.4,25.4% ELA proficiency (Levels 3+4)
06M052,2017-18,244.0,589.7,23.77,23.8% ELA proficiency (Levels 3+4)
06M098,2017-18,201.0,589.1,27.36,27.4% ELA proficiency (Levels 3+4)
06M103,2017-18,111.0,597.7,44.14,44.1% ELA proficiency (Levels 3+4)
06M115,2017-18,197.0,588.4,23.35,23.4% ELA proficiency (Levels 3+4)
06M128,2017-18,231.0,591.9,27.71,27.7% ELA proficiency (Levels 3+4)
06M132,2017-18,151.0,592.6,29.14,29.1% ELA proficiency (Levels 3+4)
06M143,2017-18,231.0,584.6,20.35,20.4% ELA proficiency (Levels 3+4)
06M152,2017-18,251.0,590.6,28.29,28.3% ELA proficiency (Levels 3+4)
06M153,2017-18,254.0,596.0,34.65,34.6% ELA proficiency (Levels 3+4)
06M173,2017-18,215.0,597.2,39.53,39.5% ELA proficiency (Levels 3+4)
06M178,2017-18,129.0,601.2,42.64,42.6% ELA proficiency (Levels 3+4)
06M187,2017-18,499.0,609.2,62.73,62.7% ELA proficiency (Levels 3+4)
06M189,2017-18,376.0,595.8,43.35,43.4% ELA proficiency (Levels 3+4)
06M192,2017-18,177.0,591.2,31.07,31.1% ELA proficiency (Levels 3+4)
06M209,2017-18,251.0,596.8,33.47,33.5% ELA proficiency (Levels 3+4)
06M210,2017-18,241.0,601.0,46.06,46.1% ELA proficiency (Levels 3+4)
06M223,2017-18,277.0,610.8,77.26,77.3% ELA proficiency (Levels 3+4)
06M278,2017-18,375.0,604.6,55.2,55.2% ELA proficiency (Levels 3+4)
06M293,2017-18,241.0,604.4,56.02,56.0% ELA proficiency (Levels 3+4)
06M311,2017-18,246.0,601.6,50.41,50.4% ELA proficiency (Levels 3+4)
06M314,2017-18,121.0,614.0,78.51,78.5% ELA proficiency (Levels 3+4)
06M319,2017-18,318.0,592.5,30.5,30.5% ELA proficiency (Levels 3+4)
06M322,2017-18,279.0,593.1,29.03,29.0% ELA proficiency (Levels 3+4)
06M324,2017-18,344.0,592.3,28.49,28.5% ELA proficiency (Levels 3+4)
06M328,2017-18,183.0,578.5,10.38,10.4% ELA proficiency (Levels 3+4)
06M346,2017-18,259.0,598.4,40.15,40.1% ELA proficiency (Levels 3+4)
06M348,2017-18,274.0,596.5,36.86,36.9% ELA proficiency (Levels 3+4)
06M366,2017-18,267.0,610.3,69.66,69.7% ELA proficiency (Levels 3+4)
06M368,2017-18,72.0,591.1,22.22,22.2% ELA proficiency (Levels 3+4)
06M513,2017-18,18.0,,,Data suppressed
06M528,2017-18,192.0,596.2,33.85,33.9% ELA proficiency (Levels 3+4)
07X001,2017-18,273.0,590.4,28.21,28.2% ELA proficiency (Levels 3+4)
07X005,2017-18,412.0,588.9,20.87,20.9% ELA proficiency (Levels 3+4)
07X018,2017-18,275.0,590.0,24.0,24.0% ELA proficiency (Levels 3+4)
07X025,2017-18,169.0,597.7,39.64,39.6% ELA proficiency (Levels 3+4)
07X029,2017-18,488.0,586.1,17.62,17.6% ELA proficiency (Levels 3+4)
07X030,2017-18,260.0,590.2,23.08,23.1% ELA proficiency (Levels 3+4)
07X031,2017-18,387.0,590.7,19.64,19.6% ELA proficiency (Levels 3+4)
07X043,2017-18,216.0,598.4,41.67,41.7% ELA proficiency (Levels 3+4)
07X049,2017-18,266.0,598.1,36.09,36.1% ELA proficiency (Levels 3+4)
07X065,2017-18,162.0,594.2,28.4,28.4% ELA proficiency (Levels 3+4)
07X154,2017-18,163.0,599.8,44.17,44.2% ELA proficiency (Levels 3+4)
07X157,2017-18,268.0,594.5,31.72,31.7% ELA proficiency (Levels 3+4)
07X161,2017-18,180.0,596.3,37.22,37.2% ELA proficiency (Levels 3+4)
07X179,2017-18,144.0,591.9,29.17,29.2% ELA proficiency (Levels 3+4)
07X221,2017-18,262.0,598.5,37.02,37.0% ELA proficiency (Levels 3+4)
07X223,2017-18,276.0,602.4,48.55,48.5% ELA proficiency (Levels 3+4)
07X224,2017-18,281.0,585.4,17.08,17.1% ELA proficiency (Levels 3+4)
07X277,2017-18,187.0,594.7,32.62,32.6% ELA proficiency (Levels 3+4)
07X296,2017-18,219.0,592.5,25.11,25.1% ELA proficiency (Levels 3+4)
07X298,2017-18,214.0,590.8,23.83,23.8% ELA proficiency (Levels 3+4)
07X343,2017-18,288.0,597.4,36.46,36.5% ELA proficiency (Levels 3+4)
07X359,2017-18,139.0,616.5,87.05,87.0% ELA proficiency (Levels 3+4)
07X369,2017-18,108.0,591.4,20.37,20.4% ELA proficiency (Levels 3+4)
07X500,2017-18,146.0,603.4,52.74,52.7% ELA proficiency (Levels 3+4)
07X551,2017-18,243.0,591.7,23.87,23.9% ELA proficiency (Levels 3+4)
07X584,2017-18,257.0,590.5,22.18,22.2% ELA proficiency (Levels 3+4)
08X014,2017-18,291.0,605.5,59.11,59.1% ELA proficiency (Levels 3+4)
08X036,2017-18,312.0,601.7,50.32,50.3% ELA proficiency (Levels 3+4)
08X048,2017-18,275.0,587.1,22.55,22.6% ELA proficiency (Levels 3+4)
08X062,2017-18,321.0,591.1,22.12,22.1% ELA proficiency (Levels 3+4)
08X069,2017-18,269.0,607.6,61.34,61.3% ELA proficiency (Levels 3+4)
08X071,2017-18,1149.0,600.0,44.65,44.6% ELA proficiency (Levels 3+4)
08X072,2017-18,321.0,594.3,31.15,31.1% ELA proficiency (Levels 3+4)
08X075,2017-18,270.0,592.4,26.67,26.7% ELA proficiency (Levels 3+4)
08X093,2017-18,129.0,591.0,24.81,24.8% ELA proficiency (Levels 3+4)
08X100,2017-18,255.0,591.3,25.1,25.1% ELA proficiency (Levels 3+4)
08X101,2017-18,512.0,609.1,66.99,67.0% ELA proficiency (Levels 3+4)
08X107,2017-18,235.0,596.1,34.04,34.0% ELA proficiency (Levels 3+4)
08X119,2017-18,435.0,596.0,35.17,35.2% ELA proficiency (Levels 3+4)
08X123,2017-18,298.0,590.7,25.17,25.2% ELA proficiency (Levels 3+4)
08X130,2017-18,217.0,586.4,19.82,19.8% ELA proficiency (Levels 3+4)
08X131,2017-18,433.0,592.1,27.02,27.0% ELA proficiency (Levels 3+4)
08X138,2017-18,314.0,595.4,32.48,32.5% ELA proficiency (Levels 3+4)
08X140,2017-18,278.0,591.6,26.26,26.3% ELA proficiency (Levels 3+4)
08X146,2017-18,169.0,595.2,33.14,33.1% ELA proficiency (Levels 3+4)
08X152,2017-18,403.0,592.9,28.78,28.8% ELA proficiency (Levels 3+4)
08X182,2017-18,423.0,599.7,43.26,43.3% ELA proficiency (Levels 3+4)
08X269,2017-18,261.0,593.5,23.37,23.4% ELA proficiency (Levels 3+4)
08X301,2017-18,226.0,586.0,14.6,14.6% ELA proficiency (Levels 3+4)
08X302,2017-18,459.0,589.3,22.44,22.4% ELA proficiency (Levels 3+4)
08X304,2017-18,226.0,608.0,64.6,64.6% ELA proficiency (Levels 3+4)
08X333,2017-18,279.0,591.4,24.37,24.4% ELA proficiency (Levels 3+4)
08X337,2017-18,470.0,602.1,47.66,47.7% ELA proficiency (Levels 3+4)
08X367,2017-18,286.0,596.9,35.31,35.3% ELA proficiency (Levels 3+4)
08X371,2017-18,329.0,602.6,52.28,52.3% ELA proficiency (Levels 3+4)
08X375,2017-18,207.0,589.2,20.29,20.3% ELA proficiency (Levels 3+4)
08X376,2017-18,155.0,597.7,41.94,41.9% ELA proficiency (Levels 3+4)
08X392,2017-18,29.0,599.3,41.38,41.4% ELA proficiency (Levels 3+4)
08X424,2017-18,262.0,583.3,11.07,11.1% ELA proficiency (Levels 3+4)
08X448,2017-18,360.0,595.4,31.94,31.9% ELA proficiency (Levels 3+4)
08X467,2017-18,306.0,592.1,29.74,29.7% ELA proficiency (Levels 3+4)
08X562,2017-18,315.0,598.3,38.73,38.7% ELA proficiency (Levels 3+4)
09X004,2017-18,306.0,591.0,22.55,22.6% ELA proficiency (Levels 3+4)
09X011,2017-18,251.0,592.4,27.09,27.1% ELA proficiency (Levels 3+4)
09X022,2017-18,392.0,588.2,18.88,18.9% ELA proficiency (Levels 3+4)
09X028,2017-18,306.0,591.1,24.84,24.8% ELA proficiency (Levels 3+4)
09X035,2017-18,313.0,591.1,25.56,25.6% ELA proficiency (Levels 3+4)
09X042,2017-18,179.0,596.0,30.17,30.2% ELA proficiency (Levels 3+4)
09X053,2017-18,537.0,595.6,35.75,35.8% ELA proficiency (Levels 3+4)
09X055,2017-18,216.0,594.3,32.87,32.9% ELA proficiency (Levels 3+4)
09X058,2017-18,207.0,589.2,24.15,24.1% ELA proficiency (Levels 3+4)
09X063,2017-18,216.0,596.4,36.11,36.1% ELA proficiency (Levels 3+4)
09X070,2017-18,573.0,589.8,24.96,25.0% ELA proficiency (Levels 3+4)
09X073,2017-18,284.0,586.1,17.96,18.0% ELA proficiency (Levels 3+4)
09X088,2017-18,20.0,598.3,40.0,40.0% ELA proficiency (Levels 3+4)
09X109,2017-18,253.0,593.4,32.02,32.0% ELA proficiency (Levels 3+4)
