DBN,school_year,teacher_q119_disruptive_sel,teacher_q119_disruptive_sel_label,teacher_q120_access_supports,teacher_q120_access_supports_label
27Q362,2023-24,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,95.0,95.0% of adults have access to behavioral/emotional supports
27Q377,2023-24,87.0,87.0% of adults recognize disruptive behavior as SEL opportunity,94.0,94.0% of adults have access to behavioral/emotional supports
27Q400,2023-24,67.0,67.0% of adults recognize disruptive behavior as SEL opportunity,70.0,70.0% of adults have access to behavioral/emotional supports
27Q475,2023-24,74.0,74.0% of adults recognize disruptive behavior as SEL opportunity,75.0,75.0% of adults have access to behavioral/emotional supports
27Q480,2023-24,73.0,73.0% of adults recognize disruptive behavior as SEL opportunity,79.0,79.0% of adults have access to behavioral/emotional supports
27Q650,2023-24,67.0,67.0% of adults recognize disruptive behavior as SEL opportunity,69.0,69.0% of adults have access to behavioral/emotional supports
28Q008,2023-24,71.0,71.0% of adults recognize disruptive behavior as SEL opportunity,72.0,72.0% of adults have access to behavioral/emotional supports
28Q040,2023-24,95.0,95.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
28Q048,2023-24,78.0,78.0% of adults recognize disruptive behavior as SEL opportunity,76.0,76.0% of adults have access to behavioral/emotional supports
28Q050,2023-24,66.0,66.0% of adults recognize disruptive behavior as SEL opportunity,56.0,56.0% of adults have access to behavioral/emotional supports
28Q054,2023-24,89.0,89.0% of adults recognize disruptive behavior as SEL opportunity,81.0,81.0% of adults have access to behavioral/emotional supports
28Q055,2023-24,79.0,79.0% of adults recognize disruptive behavior as SEL opportunity,83.0,83.0% of adults have access to behavioral/emotional supports
28Q072,2023-24,58.0,58.0% of adults recognize disruptive behavior as SEL opportunity,86.0,86.0% of adults have access to behavioral/emotional supports
28Q080,2023-24,74.0,74.0% of adults recognize disruptive behavior as SEL opportunity,57.0,57.0% of adults have access to behavioral/emotional supports
28Q082,2023-24,68.0,68.0% of adults recognize disruptive behavior as SEL opportunity,64.0,64.0% of adults have access to behavioral/emotional supports
28Q086,2023-24,76.0,76.0% of adults recognize disruptive behavior as SEL opportunity,66.0,66.0% of adults have access to behavioral/emotional supports
28Q099,2023-24,87.0,87.0% of adults recognize disruptive behavior as SEL opportunity,84.0,84.0% of adults have access to behavioral/emotional supports
28Q101,2023-24,94.0,94.0% of adults recognize disruptive behavior as SEL opportunity,85.0,85.0% of adults have access to behavioral/emotional supports
28Q117,2023-24,79.0,79.0% of adults recognize disruptive behavior as SEL opportunity,81.0,81.0% of adults have access to behavioral/emotional supports
28Q121,2023-24,95.0,95.0% of adults recognize disruptive behavior as SEL opportunity,91.0,91.0% of adults have access to behavioral/emotional supports
28Q139,2023-24,79.0,79.0% of adults recognize disruptive behavior as SEL opportunity,86.0,86.0% of adults have access to behavioral/emotional supports
28Q140,2023-24,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
28Q144,2023-24,90.0,90.0% of adults recognize disruptive behavior as SEL opportunity,86.0,86.0% of adults have access to behavioral/emotional supports
28Q157,2023-24,74.0,74.0% of adults recognize disruptive behavior as SEL opportunity,82.0,82.0% of adults have access to behavioral/emotional supports
28Q160,2023-24,82.0,82.0% of adults recognize disruptive behavior as SEL opportunity,82.0,82.0% of adults have access to behavioral/emotional supports
28Q161,2023-24,92.0,92.0% of adults recognize disruptive behavior as SEL opportunity,87.0,87.0% of adults have access to behavioral/emotional supports
28Q167,2023-24,73.0,73.0% of adults recognize disruptive behavior as SEL opportunity,72.0,72.0% of adults have access to behavioral/emotional supports
28Q174,2023-24,76.0,76.0% of adults recognize disruptive behavior as SEL opportunity,64.0,64.0% of adults have access to behavioral/emotional supports
