DBN,school_year,temp_housing_count,temp_housing_rate,temp_housing_rate_label
03M307,2020-21,51.0,13.4,13.4% of students in temporary housing
03M333,2020-21,15.0,2.6,2.6% of students in temporary housing
03M334,2020-21,,,Data suppressed
03M402,2020-21,37.0,12.3,12.3% of students in temporary housing
03M403,2020-21,66.0,14.4,14.4% of students in temporary housing
03M404,2020-21,20.0,11.4,11.4% of students in temporary housing
03M415,2020-21,55.0,15.3,15.3% of students in temporary housing
03M417,2020-21,8.0,2.0,2.0% of students in temporary housing
03M421,2020-21,29.0,15.8,15.8% of students in temporary housing
03M444,2020-21,9.0,2.4,2.4% of students in temporary housing
03M452,2020-21,9.0,2.3,2.3% of students in temporary housing
03M479,2020-21,14.0,0.9,0.9% of students in temporary housing
03M485,2020-21,16.0,0.6,0.6% of students in temporary housing
03M492,2020-21,52.0,13.3,13.3% of students in temporary housing
03M494,2020-21,41.0,9.0,9.0% of students in temporary housing
03M505,2020-21,29.0,10.9,10.9% of students in temporary housing
03M541,2020-21,16.0,3.5,3.5% of students in temporary housing
03M700,2020-21,24.0,3.6,3.6% of students in temporary housing
03M859,2020-21,,,Data suppressed
03M860,2020-21,57.0,16.8,16.8% of students in temporary housing
03M862,2020-21,12.0,3.0,3.0% of students in temporary housing
04M007,2020-21,90.0,23.7,23.7% of students in temporary housing
04M012,2020-21,15.0,2.6,2.6% of students in temporary housing
04M037,2020-21,37.0,13.4,13.4% of students in temporary housing
04M038,2020-21,60.0,27.6,27.6% of students in temporary housing
04M057,2020-21,116.0,18.7,18.7% of students in temporary housing
04M072,2020-21,143.0,25.2,25.2% of students in temporary housing
04M083,2020-21,40.0,10.8,10.8% of students in temporary housing
04M096,2020-21,101.0,25.4,25.4% of students in temporary housing
04M102,2020-21,39.0,19.7,19.7% of students in temporary housing
04M108,2020-21,43.0,10.1,10.1% of students in temporary housing
04M112,2020-21,25.0,8.8,8.8% of students in temporary housing
04M146,2020-21,84.0,23.9,23.9% of students in temporary housing
04M155,2020-21,46.0,20.3,20.3% of students in temporary housing
04M171,2020-21,78.0,9.9,9.9% of students in temporary housing
04M182,2020-21,79.0,29.4,29.4% of students in temporary housing
04M206,2020-21,65.0,14.3,14.3% of students in temporary housing
04M224,2020-21,11.0,5.2,5.2% of students in temporary housing
04M310,2020-21,22.0,10.1,10.1% of students in temporary housing
04M372,2020-21,99.0,20.3,20.3% of students in temporary housing
04M375,2020-21,52.0,22.9,22.9% of students in temporary housing
04M377,2020-21,34.0,16.8,16.8% of students in temporary housing
04M435,2020-21,55.0,3.4,3.4% of students in temporary housing
04M444,2020-21,18.0,12.7,12.7% of students in temporary housing
04M495,2020-21,28.0,7.2,7.2% of students in temporary housing
04M497,2020-21,14.0,8.9,8.9% of students in temporary housing
04M555,2020-21,30.0,5.8,5.8% of students in temporary housing
04M610,2020-21,19.0,4.0,4.0% of students in temporary housing
04M680,2020-21,36.0,11.3,11.3% of students in temporary housing
04M700,2020-21,28.0,4.6,4.6% of students in temporary housing
04M825,2020-21,36.0,11.1,11.1% of students in temporary housing
04M964,2020-21,47.0,10.6,10.6% of students in temporary housing
05M030,2020-21,52.0,22.8,22.8% of students in temporary housing
05M036,2020-21,65.0,20.7,20.7% of students in temporary housing
05M046,2020-21,93.0,17.7,17.7% of students in temporary housing
05M092,2020-21,53.0,23.2,23.2% of students in temporary housing
05M123,2020-21,191.0,42.3,42.3% of students in temporary housing
05M125,2020-21,25.0,8.4,8.4% of students in temporary housing
05M129,2020-21,87.0,26.0,26.0% of students in temporary housing
05M133,2020-21,38.0,17.4,17.4% of students in temporary housing
05M148,2020-21,50.0,15.6,15.6% of students in temporary housing
05M154,2020-21,42.0,17.4,17.4% of students in temporary housing
05M157,2020-21,38.0,19.1,19.1% of students in temporary housing
05M161,2020-21,204.0,29.0,29.0% of students in temporary housing
05M175,2020-21,52.0,15.9,15.9% of students in temporary housing
05M194,2020-21,67.0,35.8,35.8% of students in temporary housing
05M197,2020-21,57.0,23.9,23.9% of students in temporary housing
05M200,2020-21,58.0,17.6,17.6% of students in temporary housing
05M285,2020-21,28.0,14.2,14.2% of students in temporary housing
05M286,2020-21,26.0,26.3,26.3% of students in temporary housing
05M304,2020-21,42.0,21.0,21.0% of students in temporary housing
05M318,2020-21,41.0,21.7,21.7% of students in temporary housing
05M362,2020-21,32.0,4.6,4.6% of students in temporary housing
05M369,2020-21,53.0,14.2,14.2% of students in temporary housing
05M371,2020-21,6.0,7.6,7.6% of students in temporary housing
05M444,2020-21,8.0,3.5,3.5% of students in temporary housing
05M499,2020-21,122.0,12.5,12.5% of students in temporary housing
05M514,2020-21,27.0,18.6,18.6% of students in temporary housing
05M517,2020-21,36.0,9.6,9.6% of students in temporary housing
05M670,2020-21,68.0,12.6,12.6% of students in temporary housing
05M692,2020-21,7.0,1.4,1.4% of students in temporary housing
05M700,2020-21,82.0,10.4,10.4% of students in temporary housing
06M004,2020-21,64.0,13.7,13.7% of students in temporary housing
06M005,2020-21,86.0,15.6,15.6% of students in temporary housing
06M008,2020-21,63.0,13.9,13.9% of students in temporary housing
06M018,2020-21,108.0,33.6,33.6% of students in temporary housing
06M028,2020-21,124.0,25.1,25.1% of students in temporary housing
06M048,2020-21,80.0,18.5,18.5% of students in temporary housing
06M052,2020-21,56.0,22.4,22.4% of students in temporary housing
06M098,2020-21,69.0,18.5,18.5% of students in temporary housing
06M103,2020-21,95.0,22.4,22.4% of students in temporary housing
06M115,2020-21,88.0,21.8,21.8% of students in temporary housing
06M128,2020-21,146.0,24.1,24.1% of students in temporary housing
06M132,2020-21,47.0,24.4,24.4% of students in temporary housing
06M143,2020-21,31.0,13.1,13.1% of students in temporary housing
06M152,2020-21,159.0,31.1,31.1% of students in temporary housing
06M153,2020-21,113.0,25.1,25.1% of students in temporary housing
06M173,2020-21,29.0,6.4,6.4% of students in temporary housing
06M178,2020-21,33.0,12.6,12.6% of students in temporary housing
06M187,2020-21,46.0,5.9,5.9% of students in temporary housing
06M189,2020-21,43.0,7.3,7.3% of students in temporary housing
06M192,2020-21,52.0,15.6,15.6% of students in temporary housing
06M209,2020-21,52.0,14.7,14.7% of students in temporary housing
06M210,2020-21,35.0,7.9,7.9% of students in temporary housing
06M211,2020-21,46.0,10.9,10.9% of students in temporary housing
06M223,2020-21,13.0,4.8,4.8% of students in temporary housing
06M278,2020-21,42.0,8.7,8.7% of students in temporary housing
06M293,2020-21,58.0,9.3,9.3% of students in temporary housing
06M311,2020-21,52.0,12.4,12.4% of students in temporary housing
06M314,2020-21,8.0,2.7,2.7% of students in temporary housing
06M319,2020-21,62.0,18.7,18.7% of students in temporary housing
06M322,2020-21,112.0,37.7,37.7% of students in temporary housing
06M324,2020-21,49.0,17.5,17.5% of students in temporary housing
06M328,2020-21,8.0,5.7,5.7% of students in temporary housing
06M346,2020-21,86.0,12.8,12.8% of students in temporary housing
06M348,2020-21,88.0,9.2,9.2% of students in temporary housing
06M349,2020-21,40.0,38.8,38.8% of students in temporary housing
06M366,2020-21,49.0,8.6,8.6% of students in temporary housing
06M368,2020-21,43.0,18.5,18.5% of students in temporary housing
06M423,2020-21,39.0,23.1,23.1% of students in temporary housing
06M444,2020-21,7.0,2.9,2.9% of students in temporary housing
06M462,2020-21,103.0,28.2,28.2% of students in temporary housing
06M463,2020-21,113.0,33.6,33.6% of students in temporary housing
06M467,2020-21,68.0,17.0,17.0% of students in temporary housing
06M468,2020-21,74.0,19.4,19.4% of students in temporary housing
06M513,2020-21,19.0,10.4,10.4% of students in temporary housing
06M528,2020-21,37.0,14.3,14.3% of students in temporary housing
06M540,2020-21,190.0,12.7,12.7% of students in temporary housing
06M552,2020-21,189.0,33.5,33.5% of students in temporary housing
06M700,2020-21,102.0,6.4,6.4% of students in temporary housing
07X001,2020-21,72.0,13.0,13.0% of students in temporary housing
07X005,2020-21,118.0,18.2,18.2% of students in temporary housing
07X018,2020-21,94.0,20.5,20.5% of students in temporary housing
07X025,2020-21,56.0,10.5,10.5% of students in temporary housing
07X029,2020-21,128.0,15.9,15.9% of students in temporary housing
07X030,2020-21,116.0,23.4,23.4% of students in temporary housing
07X031,2020-21,103.0,16.3,16.3% of students in temporary housing
07X043,2020-21,62.0,17.4,17.4% of students in temporary housing
07X049,2020-21,134.0,21.4,21.4% of students in temporary housing
07X065,2020-21,138.0,42.7,42.7% of students in temporary housing
07X151,2020-21,50.0,35.2,35.2% of students in temporary housing
07X154,2020-21,49.0,15.8,15.8% of students in temporary housing
07X157,2020-21,96.0,17.2,17.2% of students in temporary housing
07X161,2020-21,65.0,16.7,16.7% of students in temporary housing
07X179,2020-21,48.0,16.8,16.8% of students in temporary housing
07X221,2020-21,74.0,11.6,11.6% of students in temporary housing
07X223,2020-21,84.0,11.6,11.6% of students in temporary housing
07X224,2020-21,53.0,21.2,21.2% of students in temporary housing
07X259,2020-21,82.0,16.1,16.1% of students in temporary housing
07X277,2020-21,69.0,17.9,17.9% of students in temporary housing
07X296,2020-21,46.0,18.5,18.5% of students in temporary housing
07X298,2020-21,42.0,20.9,20.9% of students in temporary housing
07X334,2020-21,122.0,30.3,30.3% of students in temporary housing
07X343,2020-21,46.0,15.3,15.3% of students in temporary housing
07X359,2020-21,45.0,15.4,15.4% of students in temporary housing
07X369,2020-21,84.0,31.6,31.6% of students in temporary housing
07X379,2020-21,31.0,14.6,14.6% of students in temporary housing
07X381,2020-21,22.0,16.7,16.7% of students in temporary housing
07X427,2020-21,79.0,23.0,23.0% of students in temporary housing
07X444,2020-21,8.0,5.7,5.7% of students in temporary housing
07X473,2020-21,38.0,15.8,15.8% of students in temporary housing
07X495,2020-21,36.0,6.0,6.0% of students in temporary housing
07X500,2020-21,45.0,8.0,8.0% of students in temporary housing
07X522,2020-21,35.0,11.9,11.9% of students in temporary housing
07X527,2020-21,65.0,13.0,13.0% of students in temporary housing
07X533,2020-21,16.0,8.5,8.5% of students in temporary housing
07X548,2020-21,88.0,16.9,16.9% of students in temporary housing
07X551,2020-21,100.0,16.3,16.3% of students in temporary housing
07X557,2020-21,33.0,11.7,11.7% of students in temporary housing
07X584,2020-21,49.0,20.0,20.0% of students in temporary housing
07X600,2020-21,49.0,10.7,10.7% of students in temporary housing
07X625,2020-21,7.0,13.7,13.7% of students in temporary housing
07X670,2020-21,55.0,14.2,14.2% of students in temporary housing
07X700,2020-21,77.0,8.7,8.7% of students in temporary housing
08X014,2020-21,48.0,8.0,8.0% of students in temporary housing
08X036,2020-21,61.0,8.1,8.1% of students in temporary housing
08X048,2020-21,146.0,25.2,25.2% of students in temporary housing
08X062,2020-21,108.0,19.5,19.5% of students in temporary housing
08X069,2020-21,59.0,10.1,10.1% of students in temporary housing
08X071,2020-21,54.0,3.8,3.8% of students in temporary housing
08X072,2020-21,66.0,9.5,9.5% of students in temporary housing
08X075,2020-21,73.0,13.3,13.3% of students in temporary housing
08X093,2020-21,48.0,13.3,13.3% of students in temporary housing
08X100,2020-21,101.0,18.7,18.7% of students in temporary housing
08X101,2020-21,29.0,5.3,5.3% of students in temporary housing
08X107,2020-21,75.0,13.8,13.8% of students in temporary housing
08X119,2020-21,29.0,4.4,4.4% of students in temporary housing
08X123,2020-21,109.0,21.0,21.0% of students in temporary housing
08X130,2020-21,77.0,20.6,20.6% of students in temporary housing
08X131,2020-21,63.0,15.0,15.0% of students in temporary housing
08X138,2020-21,70.0,11.8,11.8% of students in temporary housing
08X140,2020-21,93.0,19.1,19.1% of students in temporary housing
08X146,2020-21,67.0,18.4,18.4% of students in temporary housing
08X152,2020-21,155.0,21.2,21.2% of students in temporary housing
08X182,2020-21,58.0,9.6,9.6% of students in temporary housing
08X269,2020-21,44.0,7.0,7.0% of students in temporary housing
08X282,2020-21,28.0,14.0,14.0% of students in temporary housing
08X293,2020-21,24.0,5.3,5.3% of students in temporary housing
08X301,2020-21,40.0,20.0,20.0% of students in temporary housing
08X302,2020-21,79.0,17.2,17.2% of students in temporary housing
08X304,2020-21,41.0,7.6,7.6% of students in temporary housing
08X312,2020-21,42.0,10.7,10.7% of students in temporary housing
08X320,2020-21,18.0,4.4,4.4% of students in temporary housing
08X333,2020-21,92.0,16.9,16.9% of students in temporary housing
08X337,2020-21,51.0,11.0,11.0% of students in temporary housing
08X348,2020-21,22.0,5.9,5.9% of students in temporary housing
08X349,2020-21,17.0,3.8,3.8% of students in temporary housing
08X367,2020-21,80.0,13.4,13.4% of students in temporary housing
08X371,2020-21,33.0,8.7,8.7% of students in temporary housing
08X375,2020-21,45.0,23.2,23.2% of students in temporary housing
08X376,2020-21,61.0,14.8,14.8% of students in temporary housing
08X377,2020-21,6.0,4.6,4.6% of students in temporary housing
08X392,2020-21,35.0,7.6,7.6% of students in temporary housing
08X405,2020-21,38.0,3.8,3.8% of students in temporary housing
08X424,2020-21,79.0,28.1,28.1% of students in temporary housing
08X432,2020-21,91.0,24.3,24.3% of students in temporary housing
08X444,2020-21,36.0,10.1,10.1% of students in temporary housing
08X448,2020-21,37.0,10.1,10.1% of students in temporary housing
08X452,2020-21,63.0,15.4,15.4% of students in temporary housing
08X467,2020-21,52.0,14.6,14.6% of students in temporary housing
08X530,2020-21,34.0,9.4,9.4% of students in temporary housing
08X537,2020-21,21.0,14.7,14.7% of students in temporary housing
08X558,2020-21,17.0,3.8,3.8% of students in temporary housing
08X559,2020-21,40.0,23.7,23.7% of students in temporary housing
08X561,2020-21,48.0,12.8,12.8% of students in temporary housing
08X562,2020-21,44.0,7.7,7.7% of students in temporary housing
08X583,2020-21,43.0,12.7,12.7% of students in temporary housing
08X700,2020-21,49.0,3.6,3.6% of students in temporary housing
09X004,2020-21,197.0,44.0,44.0% of students in temporary housing
09X011,2020-21,145.0,26.1,26.1% of students in temporary housing
09X022,2020-21,101.0,27.3,27.3% of students in temporary housing
09X028,2020-21,181.0,27.1,27.1% of students in temporary housing
09X035,2020-21,73.0,14.4,14.4% of students in temporary housing
09X042,2020-21,75.0,21.6,21.6% of students in temporary housing
09X053,2020-21,270.0,30.1,30.1% of students in temporary housing
09X055,2020-21,72.0,13.0,13.0% of students in temporary housing
09X058,2020-21,96.0,25.9,25.9% of students in temporary housing
09X063,2020-21,107.0,20.6,20.6% of students in temporary housing
09X070,2020-21,224.0,23.9,23.9% of students in temporary housing
09X073,2020-21,88.0,21.1,21.1% of students in temporary housing
09X088,2020-21,27.0,27.3,27.3% of students in temporary housing
09X109,2020-21,129.0,24.0,24.0% of students in temporary housing
09X110,2020-21,88.0,23.3,23.3% of students in temporary housing
09X114,2020-21,193.0,31.0,31.0% of students in temporary housing
09X117,2020-21,120.0,28.6,28.6% of students in temporary housing
09X126,2020-21,86.0,14.7,14.7% of students in temporary housing
09X128,2020-21,47.0,13.2,13.2% of students in temporary housing
09X132,2020-21,69.0,18.9,18.9% of students in temporary housing
09X163,2020-21,58.0,15.5,15.5% of students in temporary housing
09X170,2020-21,36.0,15.8,15.8% of students in temporary housing
09X199,2020-21,174.0,27.1,27.1% of students in temporary housing
09X204,2020-21,114.0,18.1,18.1% of students in temporary housing
09X215,2020-21,56.0,17.3,17.3% of students in temporary housing
09X218,2020-21,168.0,16.7,16.7% of students in temporary housing
09X219,2020-21,71.0,24.4,24.4% of students in temporary housing
09X227,2020-21,47.0,12.0,12.0% of students in temporary housing
09X229,2020-21,49.0,23.6,23.6% of students in temporary housing
09X231,2020-21,61.0,12.5,12.5% of students in temporary housing
09X232,2020-21,100.0,25.9,25.9% of students in temporary housing
09X236,2020-21,52.0,17.7,17.7% of students in temporary housing
09X241,2020-21,80.0,13.0,13.0% of students in temporary housing
09X250,2020-21,45.0,11.5,11.5% of students in temporary housing
09X252,2020-21,37.0,10.6,10.6% of students in temporary housing
09X260,2020-21,31.0,7.1,7.1% of students in temporary housing
09X263,2020-21,44.0,12.9,12.9% of students in temporary housing
09X274,2020-21,133.0,24.5,24.5% of students in temporary housing
09X294,2020-21,119.0,25.9,25.9% of students in temporary housing
09X297,2020-21,40.0,8.6,8.6% of students in temporary housing
09X303,2020-21,54.0,16.4,16.4% of students in temporary housing
09X311,2020-21,117.0,34.7,34.7% of students in temporary housing
09X313,2020-21,59.0,23.2,23.2% of students in temporary housing
09X323,2020-21,79.0,23.5,23.5% of students in temporary housing
09X324,2020-21,79.0,15.6,15.6% of students in temporary housing
09X327,2020-21,109.0,15.1,15.1% of students in temporary housing
09X328,2020-21,79.0,24.7,24.7% of students in temporary housing
09X329,2020-21,73.0,21.7,21.7% of students in temporary housing
09X339,2020-21,69.0,21.4,21.4% of students in temporary housing
09X350,2020-21,42.0,28.2,28.2% of students in temporary housing
09X361,2020-21,65.0,16.7,16.7% of students in temporary housing
09X365,2020-21,190.0,50.1,50.1% of students in temporary housing
09X403,2020-21,133.0,37.6,37.6% of students in temporary housing
09X404,2020-21,40.0,21.1,21.1% of students in temporary housing
09X412,2020-21,96.0,27.0,27.0% of students in temporary housing
09X413,2020-21,58.0,11.4,11.4% of students in temporary housing
09X443,2020-21,113.0,22.2,22.2% of students in temporary housing
09X444,2020-21,31.0,14.3,14.3% of students in temporary housing
09X449,2020-21,87.0,20.2,20.2% of students in temporary housing
09X454,2020-21,71.0,17.4,17.4% of students in temporary housing
09X457,2020-21,114.0,21.3,21.3% of students in temporary housing
09X505,2020-21,89.0,11.7,11.7% of students in temporary housing
09X517,2020-21,56.0,18.4,18.4% of students in temporary housing
09X525,2020-21,58.0,14.1,14.1% of students in temporary housing
09X543,2020-21,48.0,23.0,23.0% of students in temporary housing
09X555,2020-21,71.0,16.2,16.2% of students in temporary housing
09X564,2020-21,146.0,40.8,40.8% of students in temporary housing
09X568,2020-21,53.0,9.3,9.3% of students in temporary housing
