DBN,school_year,suspension_total,suspension_rate,suspension_rate_label
08X075,2020-21,0.0,0.0,0.0% of students suspended
08X093,2020-21,0.0,0.0,0.0% of students suspended
08X100,2020-21,0.0,0.0,0.0% of students suspended
08X101,2020-21,,,Data suppressed
08X107,2020-21,0.0,0.0,0.0% of students suspended
08X119,2020-21,0.0,0.0,0.0% of students suspended
08X123,2020-21,0.0,0.0,0.0% of students suspended
08X130,2020-21,0.0,0.0,0.0% of students suspended
08X131,2020-21,0.0,0.0,0.0% of students suspended
08X138,2020-21,0.0,0.0,0.0% of students suspended
08X140,2020-21,0.0,0.0,0.0% of students suspended
08X146,2020-21,0.0,0.0,0.0% of students suspended
08X152,2020-21,0.0,0.0,0.0% of students suspended
08X182,2020-21,0.0,0.0,0.0% of students suspended
08X269,2020-21,0.0,0.0,0.0% of students suspended
08X282,2020-21,0.0,0.0,0.0% of students suspended
08X293,2020-21,0.0,0.0,0.0% of students suspended
08X301,2020-21,,,Data suppressed
08X302,2020-21,0.0,0.0,0.0% of students suspended
08X304,2020-21,0.0,0.0,0.0% of students suspended
08X312,2020-21,0.0,0.0,0.0% of students suspended
08X320,2020-21,,,Data suppressed
08X333,2020-21,0.0,0.0,0.0% of students suspended
08X337,2020-21,,,Data suppressed
08X348,2020-21,,,Data suppressed
08X349,2020-21,0.0,0.0,0.0% of students suspended
08X367,2020-21,,,Data suppressed
08X371,2020-21,0.0,0.0,0.0% of students suspended
08X375,2020-21,0.0,0.0,0.0% of students suspended
08X376,2020-21,,,Data suppressed
08X377,2020-21,0.0,0.0,0.0% of students suspended
08X392,2020-21,0.0,0.0,0.0% of students suspended
08X405,2020-21,0.0,0.0,0.0% of students suspended
08X424,2020-21,0.0,0.0,0.0% of students suspended
08X432,2020-21,0.0,0.0,0.0% of students suspended
08X448,2020-21,,,Data suppressed
08X452,2020-21,0.0,0.0,0.0% of students suspended
08X467,2020-21,0.0,0.0,0.0% of students suspended
08X530,2020-21,0.0,0.0,0.0% of students suspended
08X537,2020-21,0.0,0.0,0.0% of students suspended
08X558,2020-21,0.0,0.0,0.0% of students suspended
08X559,2020-21,0.0,,Data suppressed
08X561,2020-21,0.0,0.0,0.0% of students suspended
08X562,2020-21,,,Data suppressed
08X583,2020-21,0.0,0.0,0.0% of students suspended
09X004,2020-21,0.0,0.0,0.0% of students suspended
09X011,2020-21,0.0,0.0,0.0% of students suspended
09X022,2020-21,0.0,0.0,0.0% of students suspended
09X028,2020-21,0.0,0.0,0.0% of students suspended
09X035,2020-21,0.0,0.0,0.0% of students suspended
09X042,2020-21,0.0,0.0,0.0% of students suspended
