DBN,school_year,school_type,safety_climate_rating,safety_climate_rating_label,safety_pct_positive,safety_pct_positive_label
02M289,2020-21,EMS,,Rating not available,,Data not available
02M290,2020-21,EMS,,Rating not available,,Data not available
02M297,2020-21,EMS,,Rating not available,,Data not available
02M312,2020-21,EMS,,Rating not available,,Data not available
02M340,2020-21,EMS,,Rating not available,,Data not available
02M343,2020-21,EMS,,Rating not available,,Data not available
02M347,2020-21,EMS,,Rating not available,,Data not available
02M397,2020-21,EMS,,Rating not available,,Data not available
02M407,2020-21,EMS,,Rating not available,,Data not available
02M408,2020-21,EMS,,Rating not available,,Data not available
02M413,2020-21,EMS,,Rating not available,,Data not available
02M422,2020-21,EMS,,Rating not available,,Data not available
02M442,2020-21,EMS,,Rating not available,,Data not available
02M527,2020-21,EMS,,Rating not available,,Data not available
02M896,2020-21,EMS,,Rating not available,,Data not available
02M933,2020-21,EMS,,Rating not available,,Data not available
03M009,2020-21,EMS,,Rating not available,,Data not available
03M054,2020-21,EMS,,Rating not available,,Data not available
03M075,2020-21,EMS,,Rating not available,,Data not available
03M076,2020-21,EMS,,Rating not available,,Data not available
03M084,2020-21,EMS,,Rating not available,,Data not available
03M087,2020-21,EMS,,Rating not available,,Data not available
03M145,2020-21,EMS,,Rating not available,,Data not available
03M149,2020-21,EMS,,Rating not available,,Data not available
03M163,2020-21,EMS,,Rating not available,,Data not available
03M165,2020-21,EMS,,Rating not available,,Data not available
03M166,2020-21,EMS,,Rating not available,,Data not available
03M180,2020-21,EMS,,Rating not available,,Data not available
03M185,2020-21,EMS,,Rating not available,,Data not available
03M191,2020-21,EMS,,Rating not available,,Data not available
03M199,2020-21,EMS,,Rating not available,,Data not available
03M241,2020-21,EMS,,Rating not available,,Data not available
03M242,2020-21,EMS,,Rating not available,,Data not available
03M243,2020-21,EMS,,Rating not available,,Data not available
03M245,2020-21,EMS,,Rating not available,,Data not available
03M247,2020-21,EMS,,Rating not available,,Data not available
03M250,2020-21,EMS,,Rating not available,,Data not available
03M256,2020-21,EMS,,Rating not available,,Data not available
03M258,2020-21,EMS,,Rating not available,,Data not available
03M291,2020-21,EMS,,Rating not available,,Data not available
03M333,2020-21,EMS,,Rating not available,,Data not available
03M334,2020-21,EMS,,Rating not available,,Data not available
03M415,2020-21,EMS,,Rating not available,,Data not available
03M421,2020-21,EMS,,Rating not available,,Data not available
03M452,2020-21,EMS,,Rating not available,,Data not available
03M859,2020-21,EMS,,Rating not available,,Data not available
03M860,2020-21,EMS,,Rating not available,,Data not available
03M862,2020-21,EMS,,Rating not available,,Data not available
