DBN,school_year,arts_ed_score,arts_ed_score_label,arts_ed_disciplines
15K015,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K024,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K029,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K051,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K058,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K088,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K094,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K107,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
15K124,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K130,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K131,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K136,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K146,2020-21,3,3 of 4 disciplines,"Music, Theater, Visual Arts"
15K154,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K169,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K172,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
15K230,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K261,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
15K295,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K429,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K442,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K443,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K447,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K448,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K462,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K463,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K464,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K497,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K516,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K519,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K529,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K656,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K667,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K676,2020-21,1,1 of 4 discipline,Visual Arts
15K684,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
