DBN,school_year,arts_ed_score,arts_ed_score_label,arts_ed_disciplines
20K229,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
20K247,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
20K259,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
20K264,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
20K310,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
20K445,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
20K485,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
20K490,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
20K503,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
20K505,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
20K506,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
20K609,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
20K682,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
20K748,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
20K971,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K090,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K095,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K096,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K097,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K098,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K099,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K100,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K101,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
21K121,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K128,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K177,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K188,2020-21,1,1 of 4 discipline,Music
21K199,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K209,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K212,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K215,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K216,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K225,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K226,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
21K228,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K238,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K239,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K253,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K281,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K288,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
21K303,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K337,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K344,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K468,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K525,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
21K559,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K052,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K078,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K109,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K119,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K134,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K139,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
22K152,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
22K193,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
22K194,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K195,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K197,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
22K198,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K203,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K206,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K207,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K217,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K222,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K234,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K236,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K240,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K245,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
22K251,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K254,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K255,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K277,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K278,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K312,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K315,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K326,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K381,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K405,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K425,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K535,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K611,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K630,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
22K890,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
23K137,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
23K150,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
23K155,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
23K156,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
23K165,2020-21,1,1 of 4 discipline,Visual Arts
23K178,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
23K184,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
23K284,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
23K298,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
23K323,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
23K327,2020-21,1,1 of 4 discipline,Visual Arts
23K392,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
23K446,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
23K518,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
23K643,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
23K647,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
23K664,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
23K671,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
23K697,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q005,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q012,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q013,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q016,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q019,2020-21,1,1 of 4 discipline,Visual Arts
24Q049,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q058,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q061,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q068,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q071,2020-21,0,0 of 4 disciplines,
24Q073,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q077,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q081,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q087,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q088,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q089,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q091,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q102,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q110,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q113,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q119,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q128,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q143,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q153,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q199,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q211,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q229,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q264,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q267,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q296,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q311,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q330,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q343,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q455,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q485,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q520,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q530,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q550,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q585,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
24Q600,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q020,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q021,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q022,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q024,2020-21,1,1 of 4 discipline,Visual Arts
25Q025,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q029,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q032,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q079,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q120,2020-21,1,1 of 4 discipline,Visual Arts
25Q129,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q130,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q154,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q163,2020-21,2,2 of 4 disciplines,"Dance, Visual Arts"
25Q164,2020-21,2,2 of 4 disciplines,"Dance, Music"
25Q165,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q169,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q184,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
25Q185,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q189,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q193,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
25Q194,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q200,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q201,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q209,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q214,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q219,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q237,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q240,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q242,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q244,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
25Q250,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q252,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q263,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q281,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q294,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q379,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q425,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q499,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q525,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q540,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q670,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
25Q792,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
26Q018,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
26Q026,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
26Q031,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
26Q041,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
26Q046,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
26Q067,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
26Q074,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
26Q094,2020-21,0,0 of 4 disciplines,
26Q115,2020-21,0,0 of 4 disciplines,
26Q158,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
26Q159,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
26Q162,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
26Q173,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
26Q178,2020-21,3,3 of 4 disciplines,"Dance, Theater, Visual Arts"
26Q186,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
26Q188,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
26Q191,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
26Q203,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
26Q205,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
26Q213,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
26Q216,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
26Q221,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
26Q266,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
26Q315,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
26Q376,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
26Q415,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
26Q430,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
26Q435,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
26Q495,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q042,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q043,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q047,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q051,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
27Q053,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q056,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q060,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q062,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q063,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q064,2020-21,1,1 of 4 discipline,Visual Arts
27Q065,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q066,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q090,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q097,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q100,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q104,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q105,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q106,2020-21,1,1 of 4 discipline,Visual Arts
27Q108,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q123,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q124,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q137,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q146,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q155,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q183,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q202,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q207,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q210,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q223,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q226,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q253,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q254,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
27Q261,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q262,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q273,2020-21,2,2 of 4 disciplines,"Music, Theater"
27Q282,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q297,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q302,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q306,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q308,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q309,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q314,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q316,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q317,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q319,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q323,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q324,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q334,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q377,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
27Q400,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q475,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
27Q650,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q008,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q040,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q048,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q050,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q054,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q055,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q072,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q080,2020-21,3,3 of 4 disciplines,"Music, Theater, Visual Arts"
28Q086,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q099,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q101,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
28Q121,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q139,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q140,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q157,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q160,2020-21,1,1 of 4 discipline,Visual Arts
28Q161,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q167,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q174,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q175,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
28Q182,2020-21,0,0 of 4 disciplines,
28Q190,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q196,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q206,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q217,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q220,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q287,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q303,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q310,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q312,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q332,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q338,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q349,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q354,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
28Q358,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q440,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q505,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q620,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q686,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q690,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
28Q896,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q033,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q034,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
29Q035,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q036,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q052,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q095,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q109,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q116,2020-21,0,0 of 4 disciplines,
29Q131,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q132,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q134,2020-21,0,0 of 4 disciplines,
29Q135,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q147,2020-21,0,0 of 4 disciplines,
29Q156,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
29Q176,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q181,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q192,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q195,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q208,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q238,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q243,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q259,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q265,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q268,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q270,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q272,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q283,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q289,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q313,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q326,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q356,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
29Q360,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
